"Date","Company","Impact","Reasoning","Link"
"2025-05-02","Apple","Negatively Affected","- **High Dependency on China**: Apple's significant reliance on China for manufacturing (approximately 80% of iPhones) exposes the company to geopolitical risks and potential supply chain disruptions, which can negatively impact future cash flows. | - **Market Value Impact**: Analysts predict that a forced exit from China could lead to a drastic reduction in Apple's market value, potentially halving it, as losing access to the Chinese market would severely affect sales and profitability. | - **Increased Costs and Pricing Pressure**: U.S. tariffs and potential shifts in production could lead to higher costs for Apple, forcing the company to either raise prices or accept lower margins, further impacting its financial performance and discounted cash flow projections."," ""https://www.cnbeta.com.tw/articles/tech/1496862.htm"""
"2025-05-02","BMW","Not Affected","Not Affected"," ""https://www.cnbeta.com.tw/articles/tech/1496862.htm"""
"2025-05-02","Palantir","Not Affected","Not Affected"," ""https://www.cnbeta.com.tw/articles/tech/1496862.htm"""
"2025-05-02","Samsung Electronics","Positively Affected","- **Competitive Advantage**: The article highlights Apple's heavy reliance on China for manufacturing, which could weaken its competitive position. In contrast, Samsung's production in Vietnam makes it less vulnerable to U.S.-China trade tensions, enhancing its market attractiveness. | - **Market Share Gains**: As Apple faces potential market value declines due to its dependence on Chinese manufacturing, Samsung may capture a larger share of the smartphone market, positively impacting its future cash flows. | - **Investor Confidence**: The perception that Samsung is less affected by geopolitical pressures compared to Apple can lead to increased investor confidence, potentially driving up Samsung's stock price and improving its valuation."," ""https://www.cnbeta.com.tw/articles/tech/1496862.htm"""
"2025-05-02","Huawei","Not Affected","Not Affected"," ""https://www.cnbeta.com.tw/articles/tech/1496862.htm"""
"2025-05-02","Google","Not Affected","Not Affected"," ""https://www.cnbeta.com.tw/articles/tech/1496862.htm"""
"2025-05-02","Siemens AG","Not Affected","Not Affected"," ""https://www.cnbeta.com.tw/articles/tech/1496862.htm"""
"2025-05-02","Volkswagen AG","Not Affected","Not Affected"," ""https://www.cnbeta.com.tw/articles/tech/1496862.htm"""
"2025-05-02","Gazprom","Not Affected","Not Affected"," ""https://www.cnbeta.com.tw/articles/tech/1496862.htm"""
"2025-05-02","Uniper SE","Not Affected","Not Affected"," ""https://www.cnbeta.com.tw/articles/tech/1496862.htm"""
"2025-05-02","Meta","Not Affected","Not Affected"," ""https://www.cnbeta.com.tw/articles/tech/1496862.htm"""
"2025-05-02","Axel Springer SE","Not Affected","Not Affected"," ""https://www.cnbeta.com.tw/articles/tech/1496862.htm"""
"2025-05-02","Lockheed Martin","Not Affected","Not Affected"," ""https://www.cnbeta.com.tw/articles/tech/1496862.htm"""
"2025-05-02","GoldmanSachs","Not Affected","Not Affected"," ""https://www.cnbeta.com.tw/articles/tech/1496862.htm"""
"2025-05-02","Exxon Mobil","Not Affected","Not Affected"," ""https://www.cnbeta.com.tw/articles/tech/1496862.htm"""
"2025-05-02","Apple","Not Affected","Not Affected"," ""https://www.ft.com/content/d26ee3d4-134b-4bae-8ff4-db5fd412ccff"""
"2025-05-02","BMW","Not Affected","Not Affected"," ""https://www.ft.com/content/d26ee3d4-134b-4bae-8ff4-db5fd412ccff"""
"2025-05-02","Palantir","Negatively Affected","- **Political Alignment Risks**: Karp's support for Trump and alignment with controversial policies may alienate non-American clients and partners, jeopardizing international contracts and revenue streams. | - **Reputation Damage**: The perception of Palantir as a tool of a divisive administration could harm its brand image, leading to reduced trust among current and potential customers. | - **Regulatory and Ethical Concerns**: Karp's hawkish stance on AI and lack of criticism regarding government actions may raise ethical concerns, potentially inviting regulatory scrutiny and impacting future growth."," ""https://www.ft.com/content/d26ee3d4-134b-4bae-8ff4-db5fd412ccff"""
"2025-05-02","Samsung Electronics","Not Affected","Not Affected"," ""https://www.ft.com/content/d26ee3d4-134b-4bae-8ff4-db5fd412ccff"""
"2025-05-02","Huawei","Not Affected","Not Affected"," ""https://www.ft.com/content/d26ee3d4-134b-4bae-8ff4-db5fd412ccff"""
"2025-05-02","Google","Not Affected","Not Affected"," ""https://www.ft.com/content/d26ee3d4-134b-4bae-8ff4-db5fd412ccff"""
"2025-05-02","Siemens AG","Not Affected","Not Affected"," ""https://www.ft.com/content/d26ee3d4-134b-4bae-8ff4-db5fd412ccff"""
"2025-05-02","Volkswagen AG","Not Affected","Not Affected"," ""https://www.ft.com/content/d26ee3d4-134b-4bae-8ff4-db5fd412ccff"""
"2025-05-02","Gazprom","Negatively Affected","- **Geopolitical Risk**: Palantir's alignment with the Trump administration and its policies may alienate international clients, particularly those in Europe, leading to potential loss of contracts and revenue. | - **Reputation Damage**: The perception of Palantir as a supporter of controversial government actions could harm its brand image, making it less attractive to partners and clients who prioritize democratic values. | - **Market Volatility**: The uncertainty surrounding U.S. foreign policy and domestic governance under Trump could lead to fluctuations in Palantir's stock performance, impacting investor confidence and future cash flow projections."," ""https://www.ft.com/content/d26ee3d4-134b-4bae-8ff4-db5fd412ccff"""
"2025-05-02","Uniper SE","Not Affected","Not Affected"," ""https://www.ft.com/content/d26ee3d4-134b-4bae-8ff4-db5fd412ccff"""
"2025-05-02","Meta","Not Affected","Not Affected"," ""https://www.ft.com/content/d26ee3d4-134b-4bae-8ff4-db5fd412ccff"""
"2025-05-02","Axel Springer SE","Not Affected","Not Affected"," ""https://www.ft.com/content/d26ee3d4-134b-4bae-8ff4-db5fd412ccff"""
"2025-05-02","Lockheed Martin","Not Affected","Not Affected"," ""https://www.ft.com/content/d26ee3d4-134b-4bae-8ff4-db5fd412ccff"""
"2025-05-02","GoldmanSachs","Not Affected","Not Affected"," ""https://www.ft.com/content/d26ee3d4-134b-4bae-8ff4-db5fd412ccff"""
"2025-05-02","Exxon Mobil","Not Affected","Not Affected"," ""https://www.ft.com/content/d26ee3d4-134b-4bae-8ff4-db5fd412ccff"""
"2025-05-05","Apple","Not Affected","Not Affected","http://koreabizwire.com/samsung-and-lgs-automotive-electronics-divisions-surge-rivaling-traditional-consumer-units/316172#google_vignette"
"2025-05-05","BMW","Not Affected","Not Affected","http://koreabizwire.com/samsung-and-lgs-automotive-electronics-divisions-surge-rivaling-traditional-consumer-units/316172#google_vignette"
"2025-05-05","Palantir","Not Affected","Not Affected","http://koreabizwire.com/samsung-and-lgs-automotive-electronics-divisions-surge-rivaling-traditional-consumer-units/316172#google_vignette"
"2025-05-05","Samsung Electronics","Positively Affected","- **Strong Revenue Growth**: Samsung's Harman division reported Q1 2025 revenue of 3.4 trillion won, matching the operating profit of its traditional home appliance and TV units, indicating a successful diversification into automotive electronics. | - **Market Positioning**: Harman's dominance in premium automotive audio and digital cockpit systems positions Samsung favorably in a growing market, with analysts projecting significant profit increases, potentially surpassing traditional divisions. | - **Future Mobility Trends**: The shift towards software-driven vehicles and advanced infotainment systems aligns with Samsung's strategic focus, enhancing long-term growth prospects and boosting discounted future cash flows.","http://koreabizwire.com/samsung-and-lgs-automotive-electronics-divisions-surge-rivaling-traditional-consumer-units/316172#google_vignette"
"2025-05-05","Huawei","Not Affected","Not Affected","http://koreabizwire.com/samsung-and-lgs-automotive-electronics-divisions-surge-rivaling-traditional-consumer-units/316172#google_vignette"
"2025-05-05","Google","Not Affected","Not Affected","http://koreabizwire.com/samsung-and-lgs-automotive-electronics-divisions-surge-rivaling-traditional-consumer-units/316172#google_vignette"
"2025-05-05","Siemens AG","Not Affected","Not Affected","http://koreabizwire.com/samsung-and-lgs-automotive-electronics-divisions-surge-rivaling-traditional-consumer-units/316172#google_vignette"
"2025-05-05","Volkswagen AG","Not Affected","Not Affected","http://koreabizwire.com/samsung-and-lgs-automotive-electronics-divisions-surge-rivaling-traditional-consumer-units/316172#google_vignette"
"2025-05-05","Gazprom","Not Affected","Not Affected","http://koreabizwire.com/samsung-and-lgs-automotive-electronics-divisions-surge-rivaling-traditional-consumer-units/316172#google_vignette"
"2025-05-05","Uniper SE","Not Affected","Not Affected","http://koreabizwire.com/samsung-and-lgs-automotive-electronics-divisions-surge-rivaling-traditional-consumer-units/316172#google_vignette"
"2025-05-05","Meta","Not Affected","Not Affected","http://koreabizwire.com/samsung-and-lgs-automotive-electronics-divisions-surge-rivaling-traditional-consumer-units/316172#google_vignette"
"2025-05-05","Axel Springer SE","Not Affected","Not Affected","http://koreabizwire.com/samsung-and-lgs-automotive-electronics-divisions-surge-rivaling-traditional-consumer-units/316172#google_vignette"
"2025-05-05","Lockheed Martin","Not Affected","Not Affected","http://koreabizwire.com/samsung-and-lgs-automotive-electronics-divisions-surge-rivaling-traditional-consumer-units/316172#google_vignette"
"2025-05-05","GoldmanSachs","Not Affected","Not Affected","http://koreabizwire.com/samsung-and-lgs-automotive-electronics-divisions-surge-rivaling-traditional-consumer-units/316172#google_vignette"
"2025-05-05","Exxon Mobil","Not Affected","Not Affected","http://koreabizwire.com/samsung-and-lgs-automotive-electronics-divisions-surge-rivaling-traditional-consumer-units/316172#google_vignette"
"2025-03-18","Apple","Not Affected","Not Affected","https://news.samsung.com/global/samsung-announces-official-rollout-of-one-ui-7-starting-from-april-7"
"2025-03-18","BMW","Not Affected","Not Affected","https://news.samsung.com/global/samsung-announces-official-rollout-of-one-ui-7-starting-from-april-7"
"2025-03-18","Palantir","Not Affected","Not Affected","https://news.samsung.com/global/samsung-announces-official-rollout-of-one-ui-7-starting-from-april-7"
"2025-03-18","Samsung Electronics","Positively Affected","- **Enhanced User Experience**: The introduction of AI-driven features and a more intuitive interface in One UI 7 is likely to increase user satisfaction and engagement, potentially leading to higher sales of Galaxy devices. | - **Competitive Advantage**: The rollout of innovative features positions Samsung ahead of competitors, likely boosting market share and future revenue projections. | - **Increased Brand Loyalty**: Improved personalization and functionality may enhance customer retention, positively impacting long-term cash flow forecasts.","https://news.samsung.com/global/samsung-announces-official-rollout-of-one-ui-7-starting-from-april-7"
"2025-03-18","Huawei","Not Affected","Not Affected","https://news.samsung.com/global/samsung-announces-official-rollout-of-one-ui-7-starting-from-april-7"
"2025-03-18","Google","Positively Affected","- **Enhanced User Experience**: The AI-driven features and intuitive design of One UI 7 improve user engagement, potentially increasing device sales and customer loyalty for Samsung, positively impacting Google's advertising revenue through higher app usage. | - **Increased Integration with Google Services**: Deeper integration of Google Gemini enhances user convenience, likely leading to increased usage of Google services and applications, which can drive higher ad revenues and user retention for Google. | - **Market Expansion Potential**: The rollout of One UI 7 across multiple Galaxy devices broadens the user base for Google’s ecosystem, creating more opportunities for monetization through ads and services as more users engage with Google products.","https://news.samsung.com/global/samsung-announces-official-rollout-of-one-ui-7-starting-from-april-7"
"2025-03-18","Siemens AG","Not Affected","Not Affected","https://news.samsung.com/global/samsung-announces-official-rollout-of-one-ui-7-starting-from-april-7"
"2025-03-18","Volkswagen AG","Not Affected","Not Affected","https://news.samsung.com/global/samsung-announces-official-rollout-of-one-ui-7-starting-from-april-7"
"2025-03-18","Gazprom","Not Affected","Not Affected","https://news.samsung.com/global/samsung-announces-official-rollout-of-one-ui-7-starting-from-april-7"
"2025-03-18","Uniper SE","Not Affected","Not Affected","https://news.samsung.com/global/samsung-announces-official-rollout-of-one-ui-7-starting-from-april-7"
"2025-03-18","Meta","Not Affected","Not Affected","https://news.samsung.com/global/samsung-announces-official-rollout-of-one-ui-7-starting-from-april-7"
"2025-03-18","Axel Springer SE","Not Affected","Not Affected","https://news.samsung.com/global/samsung-announces-official-rollout-of-one-ui-7-starting-from-april-7"
"2025-03-18","Lockheed Martin","Not Affected","Not Affected","https://news.samsung.com/global/samsung-announces-official-rollout-of-one-ui-7-starting-from-april-7"
"2025-03-18","GoldmanSachs","Not Affected","Not Affected","https://news.samsung.com/global/samsung-announces-official-rollout-of-one-ui-7-starting-from-april-7"
"2025-03-18","Exxon Mobil","Not Affected","Not Affected","https://news.samsung.com/global/samsung-announces-official-rollout-of-one-ui-7-starting-from-april-7"
"2025-04-30","Apple","Negatively Affected","- **Increased Uncertainty in Demand**: Samsung's warning about potential declines in smartphone demand due to U.S. tariffs creates a ripple effect, raising concerns about future sales for Apple, which competes in the same market. | - **Supply Chain Disruptions**: The ongoing trade turmoil and tariff policies could disrupt Apple's supply chain and increase costs, negatively impacting profit margins and future cash flows. | - **Competitive Pressure**: Samsung's strong performance in mobile devices, particularly with AI features, may intensify competition for Apple, potentially leading to reduced market share and lower revenue projections.","https://www.reuters.com/business/samsung-electronics-operating-profit-rises-slightly-q1-2025-04-30/"
